0.03988,0.25935,0.29923
0.04001,0.261,0.30101
0.04002,0.26278,0.3028
0.04002,0.26092,0.30094
0.04006,0.26294,0.303
0.04003,0.26499,0.30502
0.04019,0.264,0.30419
0.04046,0.26617,0.30663
0.04076,0.26956,0.31032
0.04089,0.27319,0.31408
0.04109,0.2736,0.31469
0.04134,0.27405,0.31539
0.0415,0.27453,0.31603
0.0415,0.27565,0.31715
0.04151,0.27675,0.31826
0.04152,0.27548,0.317
0.04172,0.27708,0.3188
0.04218,0.2776,0.31978
0.04261,0.27681,0.31942
0.04282,0.2807,0.32352
0.04312,0.28498,0.3281
0.04353,0.28912,0.33265
0.04396,0.29272,0.33668
0.04415,0.29757,0.34172
0.04468,0.30012,0.3448
0.04504,0.3034,0.34844
0.04535,0.30559,0.35094
0.04585,0.30884,0.35469
0.04642,0.3154,0.36182
0.04701,0.3195,0.36651
0.0475,0.32387,0.37137
0.04821,0.32723,0.37544
0.04891,0.32944,0.37835
0.04907,0.33041,0.37948
0.04949,0.33075,0.38024
0.04971,0.33133,0.38104
0.05089,0.33258,0.38347
0.05146,0.33367,0.38513
0.05257,0.33679,0.38936
0.05357,0.33995,0.39352
0.05431,0.34341,0.39772
0.0551,0.34518,0.40028
0.05591,0.3488,0.40471
0.05814,0.35174,0.40988
0.05866,0.35389,0.41255
0.05956,0.35559,0.41515
0.06026,0.35647,0.41673
0.06072,0.35843,0.41915
0.06132,0.3604,0.42172
0.06223,0.36172,0.42395
0.06257,0.36296,0.42553
0.06267,0.3638,0.42647
0.06281,0.36315,0.42596
0.06324,0.36457,0.42781
0.06257,0.36444,0.42701
0.06151,0.36395,0.42546
0.06167,0.36318,0.42485
0.0617,0.36505,0.42675
0.06179,0.36641,0.4282
0.06271,0.36475,0.42746
0.06162,0.36493,0.42655
0.06129,0.36415,0.42544
0.06113,0.36179,0.42292
0.06112,0.35951,0.42063
0.06121,0.35864,0.41985
0.06147,0.358,0.41947
0.0619,0.35715,0.41905
0.06204,0.35646,0.4185
0.06216,0.35456,0.41672
0.06223,0.35486,0.41709
0.06263,0.35449,0.41712
0.06375,0.35486,0.41861
0.06254,0.35643,0.41897
0.06239,0.35665,0.41904
0.06216,0.3558,0.41796
0.06185,0.35258,0.41443
0.06159,0.35145,0.41304
0.06181,0.34968,0.41149
0.06185,0.34688,0.40873
0.06135,0.34332,0.40467
0.05942,0.32558,0.385
0.05854,0.32745,0.38599
0.0583,0.33167,0.38997
0.05811,0.33301,0.39112
0.05785,0.34047,0.39832
0.05778,0.33473,0.39251
0.05758,0.34435,0.40193
0.05761,0.35148,0.40909
0.05732,0.35617,0.41349
0.0568,0.36053,0.41733
0.05682,0.36471,0.42153
0.05681,0.36962,0.42643
0.05669,0.3724,0.42909
0.05664,0.3743,0.43094
0.05639,0.37758,0.43397
0.05628,0.37751,0.43379
0.05619,0.3792,0.43539
0.05606,0.37957,0.43563
0.05588,0.38018,0.43606
0.05558,0.37934,0.43492
0.05551,0.38087,0.43638
0.05524,0.38284,0.43808
0.05524,0.38219,0.43743
0.05519,0.3844,0.43959
0.05539,0.38662,0.44201
0.05566,0.38849,0.44415
0.05585,0.38902,0.44487
0.05605,0.38974,0.44579
0.05624,0.39058,0.44682
0.05615,0.38922,0.44537
0.05623,0.39058,0.44681
0.05643,0.38727,0.4437
0.05681,0.39114,0.44795
0.05736,0.39297,0.45033
0.05774,0.39386,0.4516
0.05791,0.39385,0.45176
0.05805,0.3949,0.45295
0.05829,0.39422,0.45251
0.05869,0.39325,0.45194
0.05888,0.39141,0.45029
0.05894,0.38777,0.44671
0.05893,0.38607,0.445
0.05915,0.38323,0.44238
0.05948,0.38282,0.4423
0.05962,0.3802,0.43982
0.05956,0.37783,0.43739
0.05962,0.37567,0.43529
0.05985,0.37637,0.43622
0.0599,0.37794,0.43784
0.0597,0.3698,0.4295
0.0595,0.37295,0.43245
0.05952,0.37565,0.43517
